Episódio;Título;Descrição
CULT-São Camilo;A importância da especialização na tradução da área médica — Luciana Bonancio;Em uma profissão não regulamentada, a especialização é um tema controverso. Muitos afirmam que ela não é necessária, que nenhum cliente pede para ver diploma. Mas será que a especialização é só um pedaço de papel que custa caro? Nesta palestra vamos refletir sobre o que uma especialização pode acrescentar à carreira do tradutor e como tirar o máximo proveito desse período de estudos.
Curso SDL Studio;Parte 1;Curso básico da ferramenta SDL Studio
Curso SDL Studio;Parte 2;Curso básico da ferramenta SDL Studio
Curso SDL Studio;Intermediário;Curso intermediário da ferramenta SDL Studio
Dica;Pausa;Exercícios e pausa para descansar de horas excessivas de trabalho.
Dica;Celular;Exercícios para diminuir a sensação de peso no pescoço ou dores nos pulsos por uso excessivo do celular.
Dica;Monitor;Dicas de como posicionar o monitor de maneira correta.
Dica;Alongamento;Exercícios de alongamentos para o dia a dia.
Especial finanças;Como planejar uma boa aposentadoria — Isabela Fontanella;Como planejar uma boa aposentadoria sendo tradutor e com uma renda irregular ao longo do ano? Um dos melhores produtos disponíveis no mercado são as previdências privadas – que nos dão flexibilidade e garantem bons resultados financeiros. Neste bate-papo, vou te ensinar a escolher o melhor produto (e não cair na conversa do gerente), como planejar investimentos sem uma renda estável e, claro, esclarecer todas as dúvidas sobre esse assunto.
Especial finanças;Precisamos falar sobre investimentos — Isabela Fontanella;O mundo dos investimentos no Brasil vem crescendo exponencialmente com novas corretoras, novas regras e novas modalidades. Ao mesmo tempo há cada vez mais propagandas, influencers, opinadores, especialistas que falam e falam mas parecem dizer pouco sobre a nossa realidade individual. Como achar o melhor caminho para realizar os seus objetivos financeiros? Vamos colocar os investimentos em pauta e mostrar que investir e ganhar dinheiro em renda fixa ou variável não precisa ser tão complicado.
Especial finanças;Organizando sua vida financeira — Isabela Fontanella;Apesar de pensarmos muito sobre dinheiro, pouco falamos e menos ainda aprendemos sobre ele. Mas em um cenário econômico cada vez mais desafiador, saber gerenciar suas finanças é uma habilidade cada vez mais importante – então por que manter esse tema como tabu? A ideia deste bate-papo é mostrar alguns conceitos de finanças pessoais facilmente aplicáveis ao nosso quotidiano e apresentar uma nova forma de pensar a questão financeira para mudar sua relação com o dinheiro.
Especial ITD 2020;Marketing pessoal e negociação para tradutores;"Esta apresentação terá como foco os seguintes assuntos: a) como construir e manter imagem e reputação, b) diferentes formas de negociação, c) comparativo entre diversificação e centralização de mercado, d) recebimento e cobrança, e) alocação de recursos financeiros.
A palestra será dinâmica, visto que serão dados alguns exemplos práticos, em tempo real."
Especial ITD 2020;T101 explica WordFast;Conheça o básico da ferramenta WordFast
Especial ITD 2020;Mais organização e produtividade? Tecnologia é a resposta!;"Você consegue imaginar sua vida profissional sem todos os recursos tecnológicos que utilizamos hoje em dia? Aposto que não! Mas até que ponto você realmente tira proveito de tudo o que a tecnologia tem a lhe oferecer? Pois é... Foi pensando nisso que esta palestra “nasceu”.
Aqui, nós vamos explorar seu sistema operacional, dicas de pesquisa, pdfs, contagem de palavras, tags, gerenciamento administrativo e administração de tempo, listando ferramentas e abordagens que vão melhorar sua organização, produtividade e qualidade de vida de uma maneira prática e econômica. "
Especial ITD 2020;Lançamento do PED4TI;O Portuguese-English Dictionary for Translators and Interpreters (PED4TI) é uma obra terminográfica direcionada pelo corpus (corpus-driven) e multitemática, ou seja, não está circunscrita a uma única área de conhecimento (abrangendo da acarologia à zootecnia). Por ser um dicionário online, suas atualizações serão semanais. Ademais, inclui apêndices com acrônimos, países e nacionalidades, prefixos e sufixos, profissões, unidades de medida, verbos irregulares, dentre muitos outros, concentrando informações em um único ambiente e, consequentemente, otimizando o tempo de pesquisa dos tradutores e intérpretes. O acesso ao PED4TI poderá ser feito via celular, tablet ou PC.
Especial ITD 2020;O mundo não te odeia;“Recebi um feedback negativo. Perdi o cliente?” “O revisor está trocando seis por meia dúzia só para mostrar trabalho?” “Estou revisando um texto que tem muitos problemas. O tradutor quer que eu faça o trabalho dele?” Essas são algumas das perguntas que passam pela cabeça de todo profissional quando precisa dar ou responder a um feedback negativo. Vamos juntos encontrar soluções para melhorar a qualidade do trabalho do tradutor e do revisor, reduzir o estresse e fidelizar o cliente com atitudes profissionais e respeitosas.
Especial ITD 2020;Tradução científica: trajetória, especialização e peculiaridades;Tradução científica: trajetória, especialização e peculiaridades
Especial ITD 2020;T101 explica XBench;Pontos que deveriam ser vírgulas, espaços duplos indevidos, números trocados, erros em tags, termos que não respeitam o glossário do cliente... quantos deslizes semelhantes já passaram despercebidos em suas traduções? Traduzir é um ato que requer atenção a muitos detalhes, e nem sempre conseguimos dar conta de tudo por nós mesmos. Nesse sentido, as ferramentas de verificação da qualidade (QA) são essenciais para abrir nossos olhos. Nesta apresentação, você aprenderá a usar os principais recursos de controle de qualidade e terminologia no Xbench, uma ferramenta simples e gratuita que ajuda tradutores a trabalhar com mais confiança.
Especial ITD 2020;O tradutor para dublagem, o texto traduzido e o estúdio;"Não há dublagem sem tradutor. Essa figura tão importante é a base de todo o processo e, diante disso, a palestra tem como objetivo se debruçar sobre alguns dos principais aspectos que envolvem esse profissional e a sua dinâmica dentro do mundo da dublagem, entre eles: 

- O que é necessário para se ter uma tradução para dublagem de excelência? 

- Como se dá a dinâmica entre o tradutor e o estúdio de dublagem? 

- O texto do tradutor: afinal, de quem é? É mesmo do tradutor? Dos dubladores? Do cliente?"
Especial ITD 2020;T101 explica SDL Studio;Conheça o básico da ferramenta SDL Studio.
Especial ITD 2020;T101 explica memoQ;Conheça o básico da ferramenta memoQ.
i2B;O que leva a uma carreira bem-sucedida na tradução? — William Cassemiro;O que leva a uma carreira bem-sucedida na tradução?
IOGA;Cuidados com face, ombros, braços e mãos cadeira — Mariana Paz;Cuidados com face, ombros, braços e mãos cadeira com Mari Paz.
LBM Week;LBM ACADEMY: A ESCOLA DAS RATARIAS DA TRADUÇÃO AUDIOVISUAL — Ligia;Ter uma escola é um sonho antigo para a equipe da LBM e, veja só, ele está virando realidade! Neste breve encontro, daremos um panorama do que a LBM Academy vai trazer para 2021: nossa equipe, nossos cursos e nosso propósito de vida. E vamos querer ouvir você também, portanto a sua presença é imprescindível. Até lá!
Live sobre as normas;Live sobre as normas;Conversa sobre as normas de tradução e interpretação com a ABRATES, AIIC, APIC, BLISS e SINTRA. Vamos saber o que são e o que exigem as normas NBR 17100 e NBR 18841, tirar dúvidas e discutir o possível impacto que causarão em nossa profissão.
Maratona;Transcriação (tradução criativa) — O que os clientes realmente querem do tradutor — André Ribeiro;"O que é a transcriação e como as agências vêm lidando com isso?
Tipos de projetos: a) transcriação simples b) transcriação com justificativa c) transcriação com justificativa e back translation.
Relação com gerentes de projetos. Não é um relacionamento qualquer. 
Estado de ""flow"" dos trabalhos criativos e bem remunerados. 
Seja o pai/a mãe da criança."
Maratona;"Congresso não é só palestra; tenha uma mente empresária — Comportamentos, atitudes e estratégias em eventos profissionais — André Ribeiro";"O dia do congresso não é o primeiro dia do congresso. 
Construção e/ou intensificação de autoridade e engajamento semanas antes do evento
Hora de começar não é hora de chegar. Conheça as oportunidades anteriores ao evento, no dia do evento. 
Não basta ser profissional, tem que parecer profissional. 
Não é possível saber de tudo. Seja seletivo. 
Palestra é o que mais importa? Nem sempre, mestre! 
Esteja na palestra mesmo não estando na palestra. 
Não misture as coisas: amigos são amigos e oportunidades são oportunidades. Saia da bolha!"
Maratona;Negociação avançada — André Ribeiro;"Negociação é um jogo. Entre para vencer.
Omitir não é mentir. Não fale tudo.
Os diferentes cenários da negociação.
Comando da negociação: você e você.
O cliente que paga bem e sabe que paga bem (a galinha dos ovos de ouro).
Acompanhamento da negociação.
Estudos de casos reais."
Maratona;Os melhores clientes esperam por você no LinkedIn — André Ribeiro;"LinkedIn e suas histórias.
Por que investir seu tempo e energia no LinkedIn?
Clientes qualificados.
Ações simples que enriquecem o perfil.
Quem não é visto não é lembrado: saiba como se colocar em destaque.
Investimento em relações significativas: sua rede, seu futuro.
Colha os frutos do LinkedIn."
Mês do bem-estar;Movimentos conscientes — Sofia Pulici;No nosso último encontro de bem-estar, faremos alguns movimentos conscientes. Geralmente passamos muito tempo com os braços e mãos digitando na mesma posição, ombros por vezes tensionados e olhos com foco localizado e estreito. Vamos falar um pouco sobre a importância de fazer certos movimentos com consciência no movimento e na respiração. Serão movimentos para o corpo e os olhos que podem ser feitos na cadeira de trabalho e que você poderá fazer sozinho/sozinha mesmo após a sessão.
Mês do bem-estar;Respiração consciente — Sofia Pulici;Como anda sua respiração enquanto trabalha? O terceiro encontro de bem-estar será uma sessão de respiração consciente. Vamos falar um pouco sobre a importância de estar ciente da respiração e fazer três exercícios para nos ajudar no dia a dia. Serão exercícios de respiração que podem ser feitos na cadeira de trabalho e que você poderá fazer sozinho/sozinha mesmo após a sessão.
Mês do bem-estar;Meditação — Sofia Pulici;Vamos relaxar o corpo e a mente e tirar um pouco do stress? O segundo encontro de bem-estar será uma sessão de meditação guiada para remover o stress do dia, que você poderá fazer sempre que quiser e precisar. Antes de meditar, vou falar um pouco sobre o que é meditação. Então, se você tem dúvida ou pergunta sobre o tema, mande antes da sessão para poder ser abordada no dia. A meditação poderá ser feita sentado em cadeira ou no chão. Não tem requisitos. Use roupas confortáveis e escolha um local silencioso, sem distrações.
Mês do bem-estar;Yoga Nidra — Sofia Pulici;Quem vem relaxar um pouco o corpo e a mente? ☺️ A prática de yoga nidra (relaxamento profundo) é feita deitada. Pode ser num tapetinho de yoga, toalha ou carpete no chão. Escolha um cômodo silencioso, sem interrupções de pessoas. Se tiver algum desconforto de ficar deitado, pode ser sentado numa poltrona (onde consiga relaxar). Use roupas confortáveis. Deixe um manta à mão se sentir frio (a temperatura do corpo cai durante a prática).
Oficina;Oficina de tradução de jogos de tabuleiro — Ivar Jr. e Luciana Boldorini;Você já pensou em traduzir jogos de tabuleiro? Ao contrário do que muita gente pensa, traduzir ou localizar jogos analógicos (os jogos de tabuleiro, jogos de cartas colecionáveis e até mesmo RPGs) não é uma tarefa tão fácil! São vários tipos de texto dentro de um mesmo produto, mas o que predomina é o texto técnico. Talvez pareça que não é tão divertido quanto jogar, mas é uma tarefa muito gratificante — e é um mercado que está crescendo gradualmente no Brasil. Venha participar de uma oficina que apresentará o universo dos Boardgames, passando por princípios elementares até macetes e particularidades da tradução desse material.
Oficina;Tradução e edição de literatura especulativa: estudo de casos — Giovana Bomentre;Nesta oficina, Giovana apresentará a introdução ao processo editorial e estudos de casos para edição e tradução de neologismos em fantasia e ficção científica, explorando os pontos de atenção e outros potenciais desafios destes gêneros.
Oficina;Oficina de tradução de HQs — Carol Pimentel;Tradução de histórias em quadrinhos e o mercado mainstream no Brasil
Oficina;Oficina on-line de auto-retratos profissionais — Camila Rodrigues;Me chamo Camila Rodrigues e tenho a proposta de fazer uma oficina on-line que ajude os alunos fazerem auto-retratos com seus smartphones a fim de tornar o currículo, ou perfil nas redes profissionais, mais atraentes.
Oficina;Oficina de SE — Laila Compan — 1ª parte;"Nesta oficina vamos conhecer o Subtitle Edit e ver como melhorar a qualidade das legendas para o cliente e a produtividade do tradutor legendador. Venha preparado e disposto a trabalhar, afinal, legendagem é prática!
E para participar você só precisa baixar o Subtitle Edit. No botão abaixo você terá o passo a passo de como fazer."
Oficina;Oficina de SE — Laila Compan — 2ª parte;"Nesta segunda parte, vamos continuar de onde paramos (caso não tenha participado da primeira, está disponível na aba ""Vídeos"" no site) e nos aprofundaremos um pouco mais no SE.
Já estejam com o SE configurado do jeitinho da apostila e com o exercício 2 feito, pra gente não perder tempo. A Laila não voltará a essa parte de configuração!"
Oficina;Quanto vale meu trabalho? — William Cassemiro;Palestra de William Cassemiro sobre um método para cálculo de valor a ser cobrado no EMPREENDE LETRAS 2021.
Oficina;Oficina prática de tradução com a professora Isa Mara Lando;Nesta oficina, vamos fazer aflorar nossa criatividade e nossa sensibilidade, visando fazer uma tradução que seja um texto natural, expressivo e atraente em português.
S02E04;Tradução para dublagem de cinema — Bianca da Costa;Não tem descrição.
S02E04;Singularidades da tradução de idiomas raros — Robson Ortlibas;Não tem descrição.
S02E04;Treine como um atleta 2: mais dicas para o tradutor autodidata — Isa Mara Lando;Dicas para ampliar seus conhecimentos em línguas e tradução oferecidas por uma das mais renomadas tradutoras brasileiras, Isa Mara Lando.
S02E05;Desvendando o Proz.com — Fernanda Rocha;Desvendando a ferramenta Proz.com
S02E06;Transcreation 101 — Ana Ribeiro;Não tem descrição.
S02E06;Interpretação: a vida real — Adriana Machado;Não tem descrição.
S02E06;Abordagem a agências pelo LinkedIn — André Ribeiro;Não tem descrição.
S02E06;A escolha do gerente de projetos — Bruno Fontes;Não tem descrição.
S02E06;Desafios e percalços de tradutores iniciantes nas agências de tradução;Não tem descrição.
S03E01;A culinária em legendas — Carol Selvatici;Não tem descrição.
S03E03;Contabilidade — Luidg Quitete;Entendendo a tributação
S03E04;Autogestão para tradutores — Mariana Gualano;Não tem descrição.
S03E05;A linguagem LGBTQIA+ na tradução para dublagem;Não tem descrição.
S03E06;Regex for dummies: como começar a usar expressões regulares — Reginaldo Francisco;Uma expressão regular é uma sequência especial de caracteres utilizada para representar um padrão de pesquisa. Expressões regulares são um recurso muito útil, que abre toda uma gama de possibilidades em diferentes programas, inclusive nas ferramentas de auxílio ao tradutor (CAT tools). Embora seja complexo dominar por completo todo o universo das expressões regulares, compreender algumas noções básicas já possibilita encontrar vários usos para elas. Nesta palestra, discutiremos o conceito de expressões regulares e veremos, por meio de exemplos práticos, como elas funcionam e como podem ser usadas para refinar buscas, filtros e outras funcionalidades de sua CAT tool.
S03E07;Interpretação no Oscar — Anna Vianna;O que é preciso para fazer interpretação ao vivo na TV? Vamos conversar sobre os caminhos tortuosos que me levaram a ser intérprete de conferências e como comecei a fazer o Oscar na Globo.
S03E08;Tradutores formados, informados e desenformados. Nossos muitos caminho. — Daniel Estill;O tema de nossa palestra é o que caracteriza a indústria da tradução hoje e o que é preciso para se tornar um profissional da área. Considero a academia o local privilegiado para formar profissionais capazes de fazer frente às demandas cada vez maiores por uma crescente variedade de produtos digitais a serem traduzidos, localizados, legendados, dublados, adaptados, audiodescritos, numa combinação de conteúdos multimídia cada vez mais complexa. No entanto, a realidade nos mostra que são muitos os caminhos possíveis para a nossa formação profissional. Vamos refletir um pouco sobre alguns desses caminhos, com seus aspectos positivos e negativos.
S03E09;Falsos cognatos e decalques na tradução médica inglês>português — Juliana Samel;Uma conversa sobre os desafios terminológicos para o tradutor de medicina, com dicas para escapar de algumas armadilhas e encontrar soluções, com foco na evolução dos termos novos incorporados ao jargão médico.
S03E10;Tradução de games? É muito simples! #sqn — Val Ivonica;Tradução de jogos não é brincadeira. É uma área com características, requisitos e desafios próprios, e pode englobar muitas outras áreas, como TI, para a UI, tradução literária, para as narrativas e diálogos, legendagem e dublagem, só para citar algumas. Nesta palestra vamos falar um pouco disso tudo e mostrar exemplos das boas práticas — e das não tão boas assim, mas que também fazem parte do dia a dia do tradutor de games.
S03E11;Os desafios da interpretação nos eventos esportivos;"Atravessando vales, subindo montanhas e descendo por rios caudalosos: os desafios da interpretação em eventos esportivos
Em uma conversa vamos descobrir o que precisa fazer (além de traduzir) durante os eventos esportivos/aventura. E conhecer recursos de pesquisa para trabalhar com esportes “desconhecidos”."
S03E12;CAT Tools e Machine Translation: discutindo a relação — Jorge Davidson;A tecnologia tem deixado de ser simplesmente um ator coadjuvante no processo de tradução para ocupar um lugar de centralidade crescente. Todos os dias, os tradutores profissionais interagimos com uma série de programas e dispositivos para realizar tarefas das mais diversas, o que impacta de maneira significativa no nosso trabalho. A palestra abordará especificamente a utilização da combinação de duas tecnologias, as CAT Tools e a Machine Translation (MT, ou tradução automática). Depois de fazer uma breve apresentação histórica introdutória para entender como chegamos até o momento atual, apresentarei algumas formas em que essa combinação pode utilizar-se na prática: desde o Lilt, sistema que integra Adaptive MT + CAT Tool até pós-edição de MT (PEMT) no nível de segmento (frase completa) e no nível de subsegmento (frase parcial).
S03E13;Experiência com tradução jurídica do gênero contrato — Alessandra e Carlos Harmel;"1. Instrumentos Jurídicos – que são?
2. Breve Histórico
3. O Gênero Contrato
4. Diferenças entre Sistemas Jurídicos e sua influência
5. O aspecto linguístico: terminologia e elaboração da área de especialidade
6. Alguns exemplos e experiências
7. Interação"
S03E14;O tradutor nômade digital — Carmen Reis;Como nômade digital, o tradutor pode e deve aproveitar a oportunidade de poder trabalhar em qualquer lugar a qualquer momento. O intuito desta palestra é compartilhar a minha experiência como tradutora que une duas paixões: a profissão e a vontade de viajar. Pretendo oferecer dicas de planejamento e ferramentas que nos auxiliam nesse processo, como aplicativos e software. Sobretudo, pretendo compartilhar a minha experiência em quatro momentos cruciais do meu trabalho remoto: um ano semissabático (acompanhado de uma viagem de carro pelos EUA de quase um mês), curso de cinco semanas no sul da França, uma viagem ao Japão e uma viagem a Cuba. A ideia é comentar o que deu certo, quais foram os desafios e o que eu poderia ter feito diferente.
S03E15;Tradutor como empreendedor: da criação de marca ao relacionamento com o cliente — Caroline Alberoni;Nesta palestra, falarei brevemente sobre alguns aspectos práticos da vida do tradutor que nem sempre são abordados pelos cursos de tradução, do ponto de vista do tradutor como empreendedor. Falarei sobre a importância da criação de uma marca e identidade visual, marketing e networking, produtividade e organização, e relacionamento com o cliente, dando um foco maior nesse último ponto.
S03E16;Tempos verbais e suas especificidades nas versões de artigos científicos para o inglês — Gilson Mattos;Não há dúvidas de que tradutores precisam dominar a gramática dos pares linguísticos com que trabalham. No entanto, por mais avançado que seja o domínio dos tempos verbais em inglês, o que muitos não sabem é que, nos artigos científicos, os tempos verbais têm usos específicos que variam de acordo com as seções do artigo. Nesta palestra, tratarei dessas especificidades, analisando também algumas armadilhas que frequentemente induzem em erro gramatical e comprometem o significado e, consequentemente, a qualidade da tradução.
S03E17;Como usar ferramentas de corpus para dar mais naturalidade ao seu texto — Daniel Erlich;"Um “corpus” (plural: “corpora”) é uma imensa coleção de textos, geralmente na ordem de milhões de palavras. As ferramentas de busca em corpus, desenvolvidas pela linguística, são muito úteis para a tradução. Podemos usá-las para evitar erros, escolher palavras que se encaixam melhor nas suas frases, e produzir um texto mais natural e fluente.
Existem corpora dos principais idiomas do mercado (EN, PT, ES, etc.). Vamos usar algumas das ferramentas mais intuitivas, como o Google Ngram Viewer e os da BYU, para trazer melhorias concretas a partir da sua próxima tradução. Pesquisar os termos mais usados com a ajuda de um corpus é a maneira mais rápida e confiável de se inserir num idioma, numa cultura, e escrever do jeito que os leitores estão mais acostumados a ler."
S03E18;Tradução de videogames: o ponto de vista do tradutor — Michel Teixeira;Que abordagem um tradutor precisa adotar ao receber um trabalho de tradução de videogames: como se preparar, o que esperar, como agir em caso de dúvidas, que medidas tomar durante a tradução e após a revisão final para entregar um produto de qualidade? Nesta palestra, partindo de experiências pessoais, tento responder essas perguntas para ajudar profissionais que desejam se especializar em tradução de videogames.
S03E19;SDL Studio: primeiros passos — Cris Tribst;A proposta deste webinar é fazer uma breve apresentação e oferecer as noções básicas para dar os primeiros passos no uso do SDL Studio, incluindo conceitos básicos de memórias de tradução (TMs), termbases (TBs) e dicionários de sugestão automática (AutoSuggest), configurações básicas de acordo com as preferências do usuário, incluindo definição de idiomas, fontes e disposição de janelas, passando para a tradução de um único arquivo e a criação de um projeto de tradução de exemplo, com todas as etapas do trabalho até a geração do arquivo final traduzido.
S03E20;10 Anos Traduzindo de Tudo. Minha Carreira na VICE Brasil;Na palestra eu vou falar um pouco sobre a minha carreira e as coisas que aprendi sobre tradução colocando a mão na massa nesses anos todos. Como traduzir informação para um público principalmente jovem, mas sem alienar ninguém (ou como tentar, pelo menos). Tentar encontrar a abordagem certa para cada assunto. Algumas derrotas e algumas vitórias das minhas traduções. As ferramentas que costumo usar. Truques que aprendi depois de quebrar muito a cabeça. E vou responder as dúvidas que vocês tiverem sobre o meu trabalho.
S03E21;Como conciliar as carreiras de tradutor e intérprete — Marsel de Souza;Tradução e interpretação são ofícios irmãos. Os atributos básicos para a prática de um são também essenciais para o outro. Mas por que tantos profissionais encaram como caminhos distintos? É possível conciliar as duas carreiras? Para responder a essas perguntas, serão abordados aspectos relacionados a mentalidade, preparação/qualificação, práticas profissionais e posicionamento comercial. Vamos falar sobre o que fazer e o que não fazer nessa jornada pelas duas profissões. Ao final, teremos um espaço para a troca de ideias com quem já trilha os dois caminhos e/ou deseja trilhar.
S03E22;Como traduzir a Terra-média — Reinaldo José Lopes;Nesta palestra, o objetivo é abordar os desafios de traduzir a obra de J.R.R. Tolkien, caracterizada por uma linguagem arcaizante e uma grande variedade de formas poéticas, algumas poucas usadas no inglês moderno. Também daremos especial atenção à terminologia cunhada por Tolkien para designar pessoas, espécies e lugares de seu mundo ficcional e aos caminhos para traduzir isso para o português.
S03E23;Amigos, amigos, trabalhos à parte: o trabalho com colegas contratantes — Daniele Fonseca;Muito se fala sobre o trabalho com agências ou com clientes diretos, mas e quando o contratante é um colega tradutor? Nesta palestra, pretendo abordar algumas questões de relacionamento e trabalho que ajudam a separar o pessoal do profissional, mas podem estreitar laços profissionais.
S03E24;AMA (Ask me anything) sobre localização de jogos! — Paula Ianelli;Você tem alguma pergunta sobre localização de jogos? Qualquer uma? Então você não pode perder essa sessão de AMA com Paula Ianelli, tradutora de jogos AAA. As perguntas poderão ser feitas na hora.
S03E25;Profissão tradutor/intérprete de Libras - trajetórias e formação — Paloma Bueno;"A palestra terá como objetivo apresentar um pouco da trajetória de formação como tradutora e intérprete de Libras, curiosidades e desafios sobre as áreas de atuação.
Tópicos que serão abordados:
- Áreas de atuação: educação, novos mercados/RSI.
- Como se forma um intérprete de Libras?
- Qual a diferença entre tradução e a interpretação da e para Libras, existe isso?
- Clientes e usuário de serviço de tradução/interpretação em Libras.
- Surdos: legendas ou Libras?"
S03E26;Ask me anything sobre legendagem — Leilane Papa;"Qual o papel da revisão na legendagem?
Como é a adaptação na legendagem?
Marcação de tempos nos shot-changes? 
Como fazer nas interrupções de fala? 
Tudo isso e qualquer outra pergunta que você queira fazer!"
S03E27;Traduzindo para a cena — Cláudia Cruz;O que distingue a tradução de um texto dramático dos outros tipos de tradução? Quais são os aspectos específicos da tradução desses textos? Que diferenças há no processo de tradução de um texto dessa natureza para ser lido ou para ser encenado? A proposta desta palestra é refletir a respeito dessas questões, abordando conceitos teóricos a partir de exemplos concretos. Falaremos das especificidades desse tipo de tradução, passando por temas como ritmo, registro, aspectos culturais e linguísticos, uso de referências, jogos de palavras, piadas, entre outros.
S03E28;Cobrança e negociação para tradutores — Simone Resende;O objetivo da palestra é apresentar diferentes formas de negociar e cobrar pelo serviço de tradução, a apresentação busca descrever estratégias de negociação e argumentação durante o processo de prospecção e prestação de serviços de tradução por meio de relatos de experiências.
S03E29;Tradução de literatura infantil e infanto-juvenil: um plus a mais — Andréia Manfrin;Nesta palestra, Andréia falará um pouco da sua experiência com tradução editorial e direcionar a apresentação para um mercado mais específico: a tradução de literatura infantil e infantojuvenil. Algumas perguntas que serão respondidas: Faz sentido falar sobre tradução de literatura infantil e infantojuvenil, se isso também é literatura? Quais são as diferenças e semelhanças entre esses gêneros e a literatura tout court? Como definir esse nicho? Quais são as especificidades do mercado?
S03E30;Tradução no Esporte ou Esporte na Tradução?;Não tem descrição.
S03E31;What the heck! A internacionalização da Dona Hermínia — Ligia Fragano;"Em sua estreia no Brasil, ""Minha Mãe é Uma Peça 3"" desbancou blockbusters internacionais e rapidamente se tornou um dos filmes de maior arrecadação de bilheteria nacional. A protagonista, Dona Hermínia, é uma referência da comédia nacional, o que torna a legendagem do filme em inglês um desafio e uma grande responsabilidade. Nesta palestra, vamos conhecer o processo de legendagem do filme, com foco nas estratégias culturais e linguísticas aplicadas para a recriação da Dona Hermínia em língua inglesa."
